1087	4, 58, 61
1130	80
1159	35, 46
1160	77
1165	27
1202	84
1206	99
1209	73
1256	21
1260	19, 47
1261	25, 42, 45, 86, 95
1267	17
1286	15
1296	55, 87
1307	50
1336	12
1337	90
1346	2, 67
1358	18, 59
1366	31, 85
1402	0, 7, 33
1411	75
1455	78
1460	68
1530	66
1539	71
61	80
82	96
102	72
122	34
142	1
162	36
215	28, 30
223	10, 82
224	55
225	68
261	77
262	15
263	50
273	53, 81, 85
291	12
301	31
302	43, 51, 67
309	92
310	5
312	29
323	19, 25, 42
327	76, 83
341	46
342	45, 86, 95
366	63
368	65
374	32, 97
376	60, 62
384	17
385	26
392	3
414	70
418	90
534	98
537	56
580	88
683	89
690	75
723	16
802	20
889	71
891	69
909	37
928	8, 78
957	94
977	9, 64, 74
982	79
998	52
1015	49
1016	14
1017	27
1034	57
1084	4, 11, 44, 58, 61
1129	38
1131	48
1154	13
1161	35
1207	99
1211	73
1226	84
1234	24
1258	41
1259	47
1282	21
1295	40
1317	54
1321	87
1357	18, 59
1365	2
1384	6, 23, 93
1427	0, 7, 33
1539	39
1541	91
1543	22
1544	66
9	91
10	39
81	80
83	96
120	11
123	72
124	34
214	28, 30, 36
221	82
250	50
261	55
262	68
274	6, 23, 85, 93
275	15, 41
303	81
309	5
311	29
322	2, 43, 51, 67
338	46
340	86
352	83
384	65
385	17
399	26
408	60
410	32, 97
412	3
416	59
417	18
437	70
442	90
498	37
554	56
555	9, 64, 88
693	75
741	16
824	92
825	20
830	54
911	69
913	71
954	76
956	94
975	62
981	8, 78
992	74
996	79
997	52
1017	14
1033	57
1039	49
1083	4, 44, 58, 61
1128	1
1153	38
1154	48, 63
1158	89
1163	77
1164	10, 13
1181	35
1227	84
1231	99
1234	21
1235	73
1236	24, 27
1284	19, 25, 42, 45, 47
1294	95
1311	98
1320	40, 87
1373	12
1383	31
1399	53
1428	7, 33
1434	0
1545	22, 66
5	66
8	91
9	39
99	96
121	11
124	72
149	34
165	1
213	36
219	28, 30
220	10
258	82
260	6, 23, 93
276	15, 41
304	85
321	43, 67, 81
326	29
337	46
338	51
339	2
345	92
346	5, 76
351	83
366	65
385	7
389	63
398	26
399	17
409	32, 97
415	3
440	90
441	18, 59
536	98
553	56
719	16, 75
847	20
892	71
910	69
940	37
952	60, 62
975	88, 94
980	8, 78
991	9, 64, 74
1017	52
1018	79
1022	70
1035	27
1038	49
1065	57
1102	4, 44, 58, 61
1151	80
1152	38
1160	89
1164	48
1165	13
1182	35, 77
1232	99
1236	21, 73
1238	24
1260	84
1278	54
1283	19, 25, 42, 45, 47
1292	40
1293	86, 95
1319	55
1328	50
1342	87
1372	12
1398	31
1435	0, 33
1440	14
1455	53, 68
1546	22
4	66
38	91
101	80
123	11
150	34
241	30
257	10, 82
269	77
270	55
271	23, 87, 93
272	68
285	53
286	15
320	81, 85
327	12
337	2, 43, 51, 67
344	92
347	29
350	5
363	46
364	86, 95
380	62, 83
386	0
387	7
398	17
405	60
407	32
414	3, 18
422	26
439	59, 90
474	70
541	74
552	56
696	89
846	20
848	96
892	72
939	37
952	94
972	76
990	9, 64, 88
1018	52
1036	49
1064	57
1079	39
1081	28
1101	4, 58
1116	97
1125	44, 61
1126	36
1150	1
1165	48, 63
1166	13
1212	35
1217	27
1229	84
1233	99
1239	24
1251	73
1254	41
1282	25, 45
1287	38
1290	19, 42, 47
1301	50
1312	54, 69
1315	21
1318	40
1333	98
1381	65
1397	31
1410	6
1436	33
1441	14, 79
1469	16, 75
1485	8, 78
1546	71
1548	22
4	71
20	22
21	66
40	52
66	96
99	80
124	38
147	11
169	44, 61
173	34
255	30
287	55
288	77
297	50
335	19, 25, 42, 45, 47
336	31
347	12
348	5
363	2, 51, 67
398	0, 7, 33
404	62
429	60
436	3, 18, 59
472	57
494	70
551	64
585	9
597	56, 94
715	75
726	84
868	54
880	20, 92
894	72
950	37
954	69
971	83
975	24
977	91
989	88
1010	76
1024	74
1074	27
1079	4
1100	28, 58
1124	36
1139	97
1152	26
1166	63
1168	1
1176	32
1185	48
1203	29
1209	89
1213	46
1215	10, 13
1236	82
1276	73
1280	15, 99
1287	35
1288	17
1309	41
