sat6-eth8	10.2.4.17
sat1532-eth1	10.2.4.18
sat6-eth9	10.2.4.81
sat1533-eth1	10.2.4.82
sat7-eth0	172.16.0.12
s1-eth8	None
sat6-eth2	10.0.9.49
sat7-eth1	10.0.9.50
sat7-eth2	10.0.9.129
sat8-eth1	10.0.9.130
sat7-eth3	10.0.17.145
sat35-eth1	10.0.17.146
sat7-eth4	10.2.3.49
sat1529-eth1	10.2.3.50
sat7-eth5	10.2.3.113
sat1530-eth1	10.2.3.114
sat8-eth0	172.16.0.13
s1-eth9	None
sat7-eth2	10.0.9.129
sat8-eth1	10.0.9.130
sat8-eth2	10.0.9.193
sat9-eth1	10.0.9.194
sat8-eth3	10.0.17.161
sat35-eth2	10.0.17.162
sat8-eth4	10.2.2.209
sat1528-eth1	10.2.2.210
sat9-eth0	172.16.0.14
s1-eth10	None
sat8-eth2	10.0.9.193
sat9-eth1	10.0.9.194
sat9-eth2	10.0.10.17
sat10-eth1	10.0.10.18
sat9-eth3	10.0.17.177
sat35-eth3	10.0.17.178
sat9-eth4	10.2.2.225
sat1528-eth2	10.2.2.226
sat10-eth0	172.16.0.15
s1-eth11	None
sat9-eth2	10.0.10.17
sat10-eth1	10.0.10.18
sat10-eth2	10.0.10.97
sat11-eth1	10.0.10.98
sat10-eth3	10.0.18.33
sat36-eth1	10.0.18.34
sat10-eth4	10.0.18.97
sat37-eth1	10.0.18.98
sat10-eth5	10.2.2.129
sat1527-eth1	10.2.2.130
sat11-eth0	172.16.0.16
s1-eth12	None
sat10-eth2	10.0.10.97
sat11-eth1	10.0.10.98
sat11-eth2	10.0.10.161
sat12-eth1	10.0.10.162
sat11-eth3	10.0.18.161
sat38-eth1	10.0.18.162
sat11-eth4	10.2.2.49
sat1526-eth1	10.2.2.50
sat12-eth0	172.16.0.17
s1-eth13	None
sat11-eth2	10.0.10.161
sat12-eth1	10.0.10.162
sat12-eth2	10.0.10.225
sat13-eth1	10.0.10.226
sat12-eth3	10.0.19.17
sat39-eth1	10.0.19.18
sat12-eth4	10.2.1.177
sat1525-eth1	10.2.1.178
sat13-eth0	172.16.0.18
s1-eth14	None
sat12-eth2	10.0.10.225
sat13-eth1	10.0.10.226
sat13-eth2	10.0.11.49
sat14-eth1	10.0.11.50
sat13-eth3	10.0.19.33
sat39-eth2	10.0.19.34
sat13-eth4	10.2.1.193
sat1525-eth2	10.2.1.194
sat14-eth0	172.16.0.19
s1-eth15	None
sat13-eth2	10.0.11.49
sat14-eth1	10.0.11.50
sat14-eth2	10.0.11.113
sat15-eth1	10.0.11.114
sat14-eth3	10.0.19.97
sat40-eth1	10.0.19.98
